Series,Model,MAE,RMSE,MAPE,Bias,MASE
Nigerseed,"ARIMA(1,1,0)",608.974,691.652,8.91,-500.495,0.923
Nigerseed,CAGR,1482.33,1599.972,21.55,1482.33,2.246
Nigerseed,Drift,578.889,649.173,8.385,578.889,0.877
Nigerseed,Ensemble,796.007,849.319,11.568,796.007,1.206
Nigerseed,GradBoost,660.0,731.517,9.651,-660.0,1.0
Nigerseed,Holt,796.014,849.327,11.568,796.014,1.206
Nigerseed,Linear,796.0,849.312,11.568,796.0,1.206
Nigerseed,Naive,660.0,731.517,9.651,-660.0,1.0
Nigerseed,RandomForest,812.342,843.953,11.864,-812.342,1.231
Nigerseed,RidgePoly2,686.302,765.274,9.952,686.302,1.04
Paddy (Common),"ARIMA(1,1,0)",30.932,35.512,1.601,-30.932,0.371
Paddy (Common),CAGR,140.332,151.089,7.316,140.332,1.684
Paddy (Common),Drift,84.5,95.002,4.408,84.5,1.014
Paddy (Common),Ensemble,108.334,116.147,5.652,108.334,1.3
Paddy (Common),GradBoost,83.333,88.728,4.331,-83.333,1.0
Paddy (Common),Holt,108.334,116.148,5.652,108.334,1.3
Paddy (Common),Linear,108.333,116.147,5.652,108.333,1.3
Paddy (Common),Naive,83.333,88.728,4.331,-83.333,1.0
Paddy (Common),RandomForest,110.076,114.317,5.727,-110.076,1.321
Paddy (Common),RidgePoly2,124.134,142.455,6.468,124.134,1.49
Paddy (Grade 'A'),"ARIMA(1,1,0)",28.066,32.463,1.437,-28.066,0.337
Paddy (Grade 'A'),CAGR,119.371,128.544,6.16,119.371,1.432
Paddy (Grade 'A'),Drift,72.278,81.603,3.733,72.278,0.867
Paddy (Grade 'A'),Ensemble,92.778,99.632,4.791,92.778,1.113
Paddy (Grade 'A'),GradBoost,83.333,88.728,4.286,-83.333,1.0
Paddy (Grade 'A'),Holt,92.778,99.632,4.791,92.778,1.113
Paddy (Grade 'A'),Linear,92.778,99.632,4.791,92.778,1.113
Paddy (Grade 'A'),Naive,83.333,88.728,4.286,-83.333,1.0
Paddy (Grade 'A'),RandomForest,109.542,113.781,5.641,-109.542,1.315
Paddy (Grade 'A'),RidgePoly2,111.084,127.946,5.728,111.084,1.333
Ragi,"ARIMA(1,1,0)",48.317,51.129,1.437,48.317,0.319
Ragi,CAGR,1336.579,1455.526,39.824,1336.579,8.832
Ragi,Drift,628.667,688.868,18.734,628.667,4.154
Ragi,Ensemble,764.667,811.435,22.792,764.667,5.053
Ragi,GradBoost,151.333,162.561,4.517,-151.333,1.0
Ragi,Holt,764.668,811.435,22.792,764.668,5.053
Ragi,Linear,764.667,811.434,22.792,764.667,5.053
Ragi,Naive,151.333,162.561,4.517,-151.333,1.0
Ragi,RandomForest,254.031,264.994,7.586,-254.031,1.679
Ragi,RidgePoly2,791.87,885.24,23.593,791.87,5.233
Rapeseed/Mustard,"ARIMA(1,1,0)",119.956,146.042,2.377,-119.956,0.288
Rapeseed/Mustard,CAGR,106.11,129.344,2.102,-105.102,0.255
Rapeseed/Mustard,Drift,131.944,156.809,2.62,-131.944,0.317
Rapeseed/Mustard,Ensemble,134.028,158.566,2.662,-134.028,0.322
