Series,Model,Origin,Target_Year,Horizon,Actual,Predicted,Error,AbsError,APE
Urad,CAGR,2019,2021,2,6300.0,6035.42,-264.58,264.58,4.2
Urad,Holt,2019,2020,1,6000.0,5866.67,-133.33,133.33,2.22
Urad,Holt,2019,2021,2,6300.0,6016.67,-283.33,283.33,4.5
Urad,"ARIMA(1,1,0)",2019,2020,1,6000.0,5781.21,-218.79,218.79,3.65
Urad,"ARIMA(1,1,0)",2019,2021,2,6300.0,5847.16,-452.84,452.84,7.19
Urad,RandomForest,2019,2020,1,6000.0,5661.33,-338.67,338.67,5.64
Urad,RandomForest,2019,2021,2,6300.0,5661.33,-638.67,638.67,10.14
Urad,GradBoost,2019,2020,1,6000.0,5700.0,-300.0,300.0,5.0
Urad,GradBoost,2019,2021,2,6300.0,5700.0,-600.0,600.0,9.52
Urad,Ensemble,2019,2020,1,6000.0,5866.67,-133.33,133.33,2.22
Urad,Ensemble,2019,2021,2,6300.0,6016.67,-283.33,283.33,4.5
Urad,Naive,2020,2021,1,6300.0,6000.0,-300.0,300.0,4.76
Urad,Drift,2020,2021,1,6300.0,6200.0,-100.0,100.0,1.59
Urad,Linear,2020,2021,1,6300.0,6150.0,-150.0,150.0,2.38
Urad,RidgePoly2,2020,2021,1,6300.0,6227.48,-72.52,72.52,1.15
Urad,CAGR,2020,2021,1,6300.0,6164.41,-135.59,135.59,2.15
Urad,Holt,2020,2021,1,6300.0,6150.0,-150.0,150.0,2.38
Urad,"ARIMA(1,1,0)",2020,2021,1,6300.0,6215.59,-84.41,84.41,1.34
Urad,RandomForest,2020,2021,1,6300.0,5885.33,-414.67,414.67,6.58
Urad,GradBoost,2020,2021,1,6300.0,6000.0,-300.0,300.0,4.76
Urad,Ensemble,2020,2021,1,6300.0,6157.21,-142.79,142.79,2.27
Wheat,Naive,2019,2020,1,1975.0,1925.0,-50.0,50.0,2.53
Wheat,Naive,2019,2021,2,2015.0,1925.0,-90.0,90.0,4.47
Wheat,Drift,2019,2020,1,1975.0,2020.0,45.0,45.0,2.28
Wheat,Drift,2019,2021,2,2015.0,2115.0,100.0,100.0,4.96
Wheat,Linear,2019,2020,1,1975.0,2023.33,48.33,48.33,2.45
Wheat,Linear,2019,2021,2,2015.0,2118.33,103.33,103.33,5.13
Wheat,RidgePoly2,2019,2020,1,1975.0,2044.73,69.73,69.73,3.53
Wheat,RidgePoly2,2019,2021,2,2015.0,2203.43,188.43,188.43,9.35
Wheat,CAGR,2019,2020,1,1975.0,2032.27,57.27,57.27,2.9
Wheat,CAGR,2019,2021,2,2015.0,2140.65,125.65,125.65,6.24
Wheat,Holt,2019,2020,1,1975.0,2023.33,48.33,48.33,2.45
Wheat,Holt,2019,2021,2,2015.0,2118.33,103.33,103.33,5.13
Wheat,"ARIMA(1,1,0)",2019,2020,1,1975.0,2008.13,33.13,33.13,1.68
Wheat,"ARIMA(1,1,0)",2019,2021,2,2015.0,2089.44,74.44,74.44,3.69
Wheat,RandomForest,2019,2020,1,1975.0,1894.52,-80.48,80.48,4.08
Wheat,RandomForest,2019,2021,2,2015.0,1894.52,-120.48,120.48,5.98
Wheat,GradBoost,2019,2020,1,1975.0,1925.0,-50.0,50.0,2.53
Wheat,GradBoost,2019,2021,2,2015.0,1925.0,-90.0,90.0,4.47
Wheat,Ensemble,2019,2020,1,1975.0,2023.33,48.33,48.33,2.45
Wheat,Ensemble,2019,2021,2,2015.0,2118.33,103.33,103.33,5.13
Wheat,Naive,2020,2021,1,2015.0,1975.0,-40.0,40.0,1.99
Wheat,Drift,2020,2021,1,2015.0,2055.0,40.0,40.0,1.99
Wheat,Linear,2020,2021,1,2015.0,2070.0,55.0,55.0,2.73
Wheat,RidgePoly2,2020,2021,1,2015.0,2077.76,62.76,62.76,3.11
Wheat,CAGR,2020,2021,1,2015.0,2080.33,65.33,65.33,3.24
Wheat,Holt,2020,2021,1,2015.0,2070.0,55.0,55.0,2.73
Wheat,"ARIMA(1,1,0)",2020,2021,1,2015.0,2022.05,7.05,7.05,0.35
Wheat,RandomForest,2020,2021,1,2015.0,1950.4,-64.6,64.6,3.21
Wheat,GradBoost,2020,2021,1,2015.0,1975.0,-40.0,40.0,1.99
Wheat,Ensemble,2020,2021,1,2015.0,2070.0,55.0,55.0,2.73
