Series,Model,Season_Label,Year,Forecast
Gram,"ARIMA(1,1,0)",2024-25,2024,5571.6
Gram,RandomForest,2022-23,2022,5170.6
Gram,RandomForest,2023-24,2023,5170.6
Gram,RandomForest,2024-25,2024,5170.6
Gram,GradBoost,2022-23,2022,5230.0
Gram,GradBoost,2023-24,2023,5230.0
Gram,GradBoost,2024-25,2024,5230.0
Gram,Ensemble,2022-23,2022,5487.0
Gram,Ensemble,2023-24,2023,5701.0
Gram,Ensemble,2024-25,2024,5915.0
Groundnut,Naive,2022-23,2022,5550.0
Groundnut,Naive,2023-24,2023,5550.0
Groundnut,Naive,2024-25,2024,5550.0
Groundnut,Drift,2022-23,2022,5825.0
Groundnut,Drift,2023-24,2023,6100.0
Groundnut,Drift,2024-25,2024,6375.0
Groundnut,Linear,2022-23,2022,5826.5
Groundnut,Linear,2023-24,2023,6085.0
Groundnut,Linear,2024-25,2024,6343.5
Groundnut,RidgePoly2,2022-23,2022,5861.6
Groundnut,RidgePoly2,2023-24,2023,6217.1
Groundnut,RidgePoly2,2024-25,2024,6609.0
Groundnut,CAGR,2022-23,2022,5883.2
Groundnut,CAGR,2023-24,2023,6195.7
Groundnut,CAGR,2024-25,2024,6524.8
Groundnut,Holt,2022-23,2022,5826.5
Groundnut,Holt,2023-24,2023,6085.0
Groundnut,Holt,2024-25,2024,6343.5
Groundnut,"ARIMA(1,1,0)",2022-23,2022,5787.5
Groundnut,"ARIMA(1,1,0)",2023-24,2023,5992.6
Groundnut,"ARIMA(1,1,0)",2024-25,2024,6169.8
Groundnut,RandomForest,2022-23,2022,5448.0
Groundnut,RandomForest,2023-24,2023,5448.0
Groundnut,RandomForest,2024-25,2024,5448.0
Groundnut,GradBoost,2022-23,2022,5550.0
Groundnut,GradBoost,2023-24,2023,5550.0
Groundnut,GradBoost,2024-25,2024,5550.0
Groundnut,Ensemble,2022-23,2022,5826.5
Groundnut,Ensemble,2023-24,2023,6092.5
Groundnut,Ensemble,2024-25,2024,6359.2
Jowar (Hybrid),Naive,2022-23,2022,2738.0
Jowar (Hybrid),Naive,2023-24,2023,2738.0
Jowar (Hybrid),Naive,2024-25,2024,2738.0
Jowar (Hybrid),Drift,2022-23,2022,2997.5
Jowar (Hybrid),Drift,2023-24,2023,3257.0
Jowar (Hybrid),Drift,2024-25,2024,3516.5
Jowar (Hybrid),Linear,2022-23,2022,3087.4
Jowar (Hybrid),Linear,2023-24,2023,3314.0
Jowar (Hybrid),Linear,2024-25,2024,3540.6
Jowar (Hybrid),RidgePoly2,2022-23,2022,3002.3
Jowar (Hybrid),RidgePoly2,2023-24,2023,3215.2
Jowar (Hybrid),RidgePoly2,2024-25,2024,3434.3
Jowar (Hybrid),CAGR,2022-23,2022,3233.4
Jowar (Hybrid),CAGR,2023-24,2023,3583.7
Jowar (Hybrid),CAGR,2024-25,2024,3971.9
Jowar (Hybrid),Holt,2022-23,2022,3087.4
Jowar (Hybrid),Holt,2023-24,2023,3314.0
Jowar (Hybrid),Holt,2024-25,2024,3540.6
Jowar (Hybrid),"ARIMA(1,1,0)",2022-23,2022,2820.3
Jowar (Hybrid),"ARIMA(1,1,0)",2023-24,2023,2877.7
Jowar (Hybrid),"ARIMA(1,1,0)",2024-25,2024,2917.8
Jowar (Hybrid),RandomForest,2022-23,2022,2694.7
Jowar (Hybrid),RandomForest,2023-24,2023,2694.7
Jowar (Hybrid),RandomForest,2024-25,2024,2694.7
Jowar (Hybrid),GradBoost,2022-23,2022,2738.0
Jowar (Hybrid),GradBoost,2023-24,2023,2738.0
Jowar (Hybrid),GradBoost,2024-25,2024,2738.0
Jowar (Hybrid),Ensemble,2022-23,2022,3087.4
Jowar (Hybrid),Ensemble,2023-24,2023,3314.0
Jowar (Hybrid),Ensemble,2024-25,2024,3540.6
Jowar (Maldandi),Naive,2022-23,2022,2758.0
Jowar (Maldandi),Naive,2023-24,2023,2758.0
Jowar (Maldandi),Naive,2024-25,2024,2758.0
Jowar (Maldandi),Drift,2022-23,2022,3016.2
Jowar (Maldandi),Drift,2023-24,2023,3274.5
Jowar (Maldandi),Drift,2024-25,2024,3532.8
Jowar (Maldandi),Linear,2022-23,2022,3105.4
Jowar (Maldandi),Linear,2023-24,2023,3331.0
Jowar (Maldandi),Linear,2024-25,2024,3556.6
Jowar (Maldandi),RidgePoly2,2022-23,2022,3021.2
Jowar (Maldandi),RidgePoly2,2023-24,2023,3233.6
Jowar (Maldandi),RidgePoly2,2024-25,2024,3452.3
Jowar (Maldandi),CAGR,2022-23,2022,3248.1
Jowar (Maldandi),CAGR,2023-24,2023,3594.5
Jowar (Maldandi),CAGR,2024-25,2024,3977.8
Jowar (Maldandi),Holt,2022-23,2022,3105.4
Jowar (Maldandi),Holt,2023-24,2023,3331.0
Jowar (Maldandi),Holt,2024-25,2024,3556.6
Jowar (Maldandi),"ARIMA(1,1,0)",2022-23,2022,2840.5
Jowar (Maldandi),"ARIMA(1,1,0)",2023-24,2023,2898.1
Jowar (Maldandi),"ARIMA(1,1,0)",2024-25,2024,2938.4
Jowar (Maldandi),RandomForest,2022-23,2022,2714.7
Jowar (Maldandi),RandomForest,2023-24,2023,2714.7
Jowar (Maldandi),RandomForest,2024-25,2024,2714.7
